Date,Open,High,Low,Close,Adj Close,Volume
11/1/2018,1499.069946,1555.51001,1453.329956,1525.560059,1525.560059,0
12/1/2018,1530.640015,1547.47998,1296.22998,1384.26001,1384.26001,0
1/1/2019,1383.140015,1500.859985,1350.050049,1498.359985,1498.359985,0
2/1/2019,1498.349976,1561.589966,1488.339966,1545.72998,1545.72998,0
3/1/2019,1547.040039,1584.880005,1509.849976,1570.22998,1570.22998,0
4/1/2019,1572.420044,1634.01001,1572.420044,1631.869995,1631.869995,0
5/1/2019,1634.959961,1636.180054,1523.040039,1524.420044,1524.420044,0
6/1/2019,1524.709961,1640.180054,1511.920044,1629.02002,1629.02002,0
7/1/2019,1635.660034,1678.280029,1634.969971,1652.400024,1652.400024,0
8/1/2019,1652.079956,1670.079956,1562.699951,1618.609985,1618.609985,0
9/1/2019,1617.910034,1670.52002,1600.02002,1644.180054,1644.180054,0
10/1/2019,1644.670044,1684.319946,1578.01001,1677.079956,1677.079956,0
11/1/2019,1682.780029,1744.650024,1682.780029,1736.849976,1736.849976,0
12/1/2019,1737.640015,1794.140015,1697.890015,1784.209961,1784.209961,0
1/1/2020,1789.930054,1845.430054,1776.680054,1784.030029,1784.030029,0
2/1/2020,1789.410034,1879.400024,1581.01001,1635.209961,1635.209961,0
3/1/2020,1635.589966,1732.630005,1198.540039,1416.48999,1416.48999,0
4/1/2020,1393.089966,1626.73999,1340.459961,1601.819946,1601.819946,0
5/1/2020,1573.430054,1695.640015,1521.900024,1682.75,1682.75,0
6/1/2020,1681.780029,1791.51001,1640.900024,1717.469971,1717.469971,0
7/1/2020,1719.599976,1822.030029,1718.51001,1815.98999,1815.98999,0
8/1/2020,1823.530029,1953.97998,1823.530029,1946.150024,1946.150024,0
9/1/2020,1946.599976,1992.670044,1784.459961,1872.699951,1872.699951,0
10/1/2020,1873.900024,1981.130005,1807.069946,1825.670044,1825.670044,0
11/1/2020,1826.910034,2050.02002,1826.910034,2037.359985,2037.359985,0
12/1/2020,2038.150024,2123.340088,2038.150024,2120.870117,2120.870117,1347700
